Token			Lexemes
keyword		=	int
identifier	=	num1
separator	=	,
identifier	=	num2
separator	=	,
identifier	=	large$
keyword		=	if
separator	=	(
identifier	=	num1
operator	=	>
identifier	=	num2
separator	=	)
separator	=	{
identifier	=	large
operator	=	=
identifier	=	num1$
separator	=	;
identifier	=	test
operator	=	=
numeric		=	200
identifier	=	test2
operator	=	=
real		=	200.50
separator	=	}
keyword		=	else
separator	=	{
identifier	=	large
operator	=	=
identifier	=	num2$
separator	=	;
separator	=	}
